,,DSA Sheet by AlgoForge ,Contact us here: algoforge.graphy.com,
,FALSE,Morris Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/description/,
,,,,
,FALSE,HasPath sum ,https://leetcode.com/problems/path-sum/,
,FALSE,get all paths with target sum,https://leetcode.com/problems/path-sum-ii/,
,,,,
,FALSE,Binary tree to doubly LL ,"https://www.geeksforgeeks.org/problems/binary-tree-to-dll/1, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/",
,FALSE,Flatten Binary Tree to LinkedList - copy of flatten generic tree,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/,
,FALSE,Flatten Binary Tree to LinkedList - move in reverse preoder recursively,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/,
,FALSE,Populate next right pointer of each node in a perfect binary tree ,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,
,FALSE,Populate next right pointer of each node in non-perfect binary tree,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description/,
,,,,
,FALSE,Serialize and deserialize binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/description/,
,,,,
,FALSE,Distribute coins in binary tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/description/,
,FALSE,Binary tree cameras,https://leetcode.com/problems/binary-tree-cameras/,
,FALSE,Binary tree coloring game (Greedy),https://leetcode.com/problems/binary-tree-coloring-game/description/,
,FALSE,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning/description/,
,FALSE, Height of Binary Tree After Subtree Removal Queries,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/description,
,,,,
,,Binary Search Trees,,
,FALSE,Construct BST,,
,FALSE,Display a binary Tree,,
,FALSE,"Size, sum ",,
,FALSE,Max Of BST,,
,FALSE,Min of BST,,
,FALSE,Search BST,https://leetcode.com/problems/search-in-a-binary-search-tree/description/,
,FALSE,LCA of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/,
,FALSE,Insert node in BST,https://leetcode.com/problems/insert-into-a-binary-search-tree/description/,
,FALSE,Delete Node in BST,https://leetcode.com/problems/delete-node-in-a-bst/,
,FALSE,"Trim BST on the basis of lower limit, upper limit",https://leetcode.com/problems/trim-a-binary-search-tree/description/,
,FALSE,Convert bst to greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree/description/,
,FALSE,Find 2 sum pair in BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/description/,
,FALSE,Find 2 sum pair in BST iteratively,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/description/,
,FALSE,Construct BST from preorder ,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/description/,
,FALSE,Construct BST from postorder,https://www.geeksforgeeks.org/problems/construct-bst-from-post-order/1,
,FALSE,Validate BST using BST Pair,https://leetcode.com/problems/validate-binary-search-tree/description/,
,FALSE,Maximum Sum BST in Binary Tree,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/description/,
,FALSE,Validate BST Using inorder traversal,https://leetcode.com/problems/validate-binary-search-tree/description/,
,FALSE,Validate BST Using inorder traversal but O(1) Space,https://leetcode.com/problems/validate-binary-search-tree/description/,
,FALSE,Recover BST,https://leetcode.com/problems/recover-binary-search-tree/description/,
,FALSE,BST Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,
,FALSE,Kth Smallest element in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
,FALSE,Predecessor and Successor of BST key using recursion ,https://www.geeksforgeeks.org/problems/predecessor-and-successor/1,
,FALSE,Predecessor and Successor of BST key using iteration ,https://www.geeksforgeeks.org/problems/predecessor-and-successor/1,
,,,,
,,AVL Trees / Red-Black Trees,,
,FALSE,Check if tree is balanced,https://leetcode.com/problems/balanced-binary-tree/description/,
,FALSE,AVL Tree implemenatation,,
,FALSE,Balance a BST,https://leetcode.com/problems/balance-a-binary-search-tree/,
,FALSE,Insert into AVL,https://www.geeksforgeeks.org/problems/avl-tree-insertion/1,
,,,,
,,Graph,Link ,
,FALSE,"What, why Graph. ",,
,FALSE,"Construction of graph - Adjacency matrix, list",,
,FALSE,Check if there is a path between given source and destination,,
,FALSE,Print all paths between given source and destination,,
,FALSE,Find path with minimum weight between source and destination,,
,FALSE,Find path with maximum weight between source and destination,,
,FALSE,Find kth largest path weight between source and destination,,
,FALSE,Get all the connected components,https://www.geeksforgeeks.org/problems/connected-components-in-an-undirected-graph/1,
,FALSE,Check if the whole graph is connected,,
,FALSE,Print all hamiltonian Paths and Cycle,,
,FALSE,Check if there is a hamiltonian path ,https://www.geeksforgeeks.org/problems/hamiltonian-path2522/1,
,,,,
,,DFS Problems,,
,FALSE,Number of islands,https://leetcode.com/problems/number-of-islands/description/,
,FALSE,Max Area of island,https://leetcode.com/problems/max-area-of-island/,
,FALSE,Surrounded regions,https://leetcode.com/problems/surrounded-regions/description/,
,FALSE,Perimeter of island,https://leetcode.com/problems/island-perimeter/description/,
,FALSE,Number of provinces,https://leetcode.com/problems/number-of-provinces/,
,FALSE,Count sub islands,https://leetcode.com/problems/count-sub-islands/description/,
,FALSE,Number of distinct islands,https://www.geeksforgeeks.org/problems/number-of-distinct-islands/1,
,,,,
,FALSE,Implementation of Topological Sort For DAG,,
,FALSE,Implementation of Topological Sort For Generic Directed Graph,,
,FALSE,Is course scheduling possible,https://leetcode.com/problems/course-schedule/description/,
,FALSE,Find course Schedule,https://leetcode.com/problems/course-schedule-ii/description/,
,FALSE,Find eventual safe states,https://leetcode.com/problems/find-eventual-safe-states/description/,
,,,,
,FALSE,Implement Kosaraju Algorithm,https://www.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1,
,,,,
,FALSE,Detonate the maximum bombs,https://leetcode.com/problems/detonate-the-maximum-bombs/description/,
,FALSE,M coloring problem,https://www.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,
,,,,
,,Breadth First Search (BFS),,
,FALSE,BFS Implementation,,
,FALSE,BFS Implementation with cycle detection,,
,FALSE,As Far from land as possible,https://leetcode.com/problems/as-far-from-land-as-possible/description/,
,FALSE,Zero-One Matrix,01 Matrix - LeetCode,
,FALSE,Rotting oranges,https://leetcode.com/problems/rotting-oranges/,
,FALSE,Shortest Path in binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/description/,
,FALSE,Walls and Gates,https://www.lintcode.com/problem/663/,
,FALSE,Shortest bridge,https://leetcode.com/problems/shortest-bridge/description/,
,,,,
,FALSE,Kahn's Algorithm Implementation,,
,FALSE,Is course scheduling possible using BFS,https://leetcode.com/problems/course-schedule/description/,
,FALSE,Find course Schedule using BFS,https://leetcode.com/problems/course-schedule-ii/description/,
,FALSE,Longest Increasing Path,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,
,,,,
,FALSE,What is Bipartite Graph,,
,FALSE,Is Graph bipartite,https://leetcode.com/problems/is-graph-bipartite/,
,FALSE,Possible bipartition,https://leetcode.com/problems/possible-bipartition/,
,,,,
,FALSE,Word ladder without graph,https://leetcode.com/problems/word-ladder/,
,FALSE,Word ladder with graph,https://leetcode.com/problems/word-ladder/,
,FALSE,Word ladder 2,https://leetcode.com/problems/word-ladder-ii/description/,
,,,,
,FALSE,Bus Routes,https://leetcode.com/problems/bus-routes/description/,
,,,,
,,Union Find/Disjoint-set-union (DSU),,
,FALSE,"DSU implementation, path compression, union by rank",,
,FALSE,Redundant Connections,https://leetcode.com/problems/redundant-connection/,
,FALSE,Lexiographically smallest equivalent string,https://leetcode.com/problems/lexicographically-smallest-equivalent-string/,
,FALSE,Number of provinces using DSU,https://leetcode.com/problems/number-of-provinces/,
,FALSE,Max area of island using DSU,https://leetcode.com/problems/max-area-of-island/,
,FALSE,Number of islands 2,https://leetcode.ca/all/305.html,
,FALSE,Similar string groups with the help of array indices,https://leetcode.com/problems/similar-string-groups/description/,
,FALSE,Similar string groups without the help of array indices,https://leetcode.com/problems/similar-string-groups/description/,
,FALSE,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,
,FALSE,Count servers that communicate,https://leetcode.com/problems/count-servers-that-communicate/description/,
,FALSE,Regions cut by slashes,https://leetcode.com/problems/regions-cut-by-slashes/description/,
,FALSE,Number of operations to make network connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected,
,FALSE,Smallest string with swaps,https://leetcode.com/problems/smallest-string-with-swaps/description/,
,FALSE,Accounts merge ,https://leetcode.com/problems/accounts-merge/,
,FALSE,Making a large island,https://leetcode.com/problems/making-a-large-island/description,
,FALSE,Minimize malware spread,https://leetcode.com/problems/minimize-malware-spread/description/,
,,,,
,,Minimum Spanning Tree,,
,FALSE,"What is spanning Tree, what is minimum spanning Tree",,
,FALSE,Create MST using DSU (Kruskal),,
,,,,
,,Graph Algorithms,,
,FALSE,Kruskal Algorithm Implementation,,
,FALSE,Min cost to connect all points ,https://leetcode.com/problems/min-cost-to-connect-all-points/description/,
,FALSE,Optimize Water distribution in a village,https://leetcode.ca/all/1168.html,
,FALSE,Connecting cities with minimum cost,https://leetcode.ca/all/1135.html,
,FALSE,Minimize maximum component cost,https://leetcode.com/problems/minimize-maximum-component-cost/description/,
,,,,
,FALSE,Build MST using Prims Algorithm,,
,FALSE,Find cost of MST,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,
,,,,
,FALSE,Dijkstra Algorithm Implementation,,
,FALSE,Network delay time,https://leetcode.com/problems/network-delay-time/,
,FALSE,Path with minimum effort ,https://leetcode.com/problems/path-with-minimum-effort/,
,FALSE,Minimum cost to reach destination in time,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time/,
,FALSE,Number of ways to arrive at destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/description/,
,FALSE,Lexiographically shortest maze path to hole,https://leetcode.ca/all/499.html,
,FALSE,Swin in rising water,https://leetcode.com/problems/swim-in-rising-water/description/,
,FALSE,Network recovery Pathways,Network Recovery Pathways - LeetCode,Leetcode 3620 | Network Recovery Pathways Detailed Solution with Dry run
,,,,
,FALSE,Bellman ford Implementation,,
,FALSE,Cheapest flights within k stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,
,,,,
,FALSE,Floyd Warshall Algorithm,https://www.geeksforgeeks.org/dsa/floyd-warshall-algorithm-dp-16/,
,FALSE,Implement floyd warshall,https://www.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1,
,,,,
,FALSE,Articulation point/Tarjan's Algorithm (optional),https://www.geeksforgeeks.org/dsa/articulation-points-or-cut-vertices-in-a-graph/,
,FALSE,Mother Vertex,https://www.geeksforgeeks.org/problems/mother-vertex/1,
,,,,
,,Mixed of DFS/BFS/DSU,,
,FALSE,Pacific Atlantic water flow,https://leetcode.com/problems/pacific-atlantic-water-flow/description/,
,FALSE,Clone graph,https://leetcode.com/problems/clone-graph/description/,
,FALSE,Last Day where you can still cross,https://leetcode.com/problems/last-day-where-you-can-still-cross/description,
,FALSE,Shortest path with alternating colors,https://leetcode.com/problems/shortest-path-with-alternating-colors/description,
,,,,
,,Dynamic Programming,,
,FALSE,What is dynamic Programming,Dynamic Programming || How to solve any DP problem || DP series Part 1,
,FALSE,How Memoization works ,https://www.youtube.com/watch?v=nUwUCDdYN74&list=PL9wulqBXJ6TX1SRyGw6HKuaWIHJx044o9&index=2,
,FALSE,Steps to solve any DP problem,https://www.youtube.com/watch?v=nUwUCDdYN74&list=PL9wulqBXJ6TX1SRyGw6HKuaWIHJx044o9&index=2,
,FALSE,Find nth Term of fibonacci series,Dynamic Programming || How to solve any DP problem || DP series Part 1,
,FALSE,Friends pairing using dp,https://www.geeksforgeeks.org/problems/friends-pairing-problem5425/1,
,FALSE,Climbing stairs,https://leetcode.com/problems/climbing-stairs/,
,FALSE,Unique maze path,https://leetcode.com/problems/unique-paths/description/,
,FALSE,Unique maze path with diagonal moves,,
,FALSE,Min maze path sum,https://leetcode.com/problems/minimum-path-sum/description/,
,FALSE,GoldMine,Gold Mine Problem | Practice | GeeksforGeeks,
,FALSE,Unique paths 2,https://leetcode.com/problems/unique-paths-ii/,
,FALSE,Min cost climbing stairs,https://leetcode.com/problems/min-cost-climbing-stairs/description/,
,FALSE,Min cost climbing stairs in O(1) space,https://leetcode.com/problems/min-cost-climbing-stairs/description/,
,FALSE,Decode ways,https://leetcode.com/problems/decode-ways/description/,
,FALSE,Decode ways in O(1) space,https://leetcode.com/problems/decode-ways/description/,
,FALSE,Decode ways 2,https://leetcode.com/problems/decode-ways-ii/,
,FALSE,Decode ways 2 in O(1) space,https://leetcode.com/problems/decode-ways-ii/,
,FALSE,Jump game 2,https://leetcode.com/problems/jump-game-ii/description/,
,,,,
,,Target Sum subset,,
,FALSE,Coin Change Permutation using yes/no call,,
,FALSE,Coin Change Permutation using for loop,,
,FALSE,Coin change combination using 2D dp,https://leetcode.com/problems/coin-change-ii/description/,
,FALSE,Coin change combination using 1D dp,https://leetcode.com/problems/coin-change-ii/description/,
,FALSE,Combination sum 4,https://leetcode.com/problems/combination-sum-iv/,
,FALSE,Minimum coins required,https://leetcode.com/problems/coin-change/description/,
,FALSE,Find if any subset with given target exists,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,
,FALSE,Count of subsets with sum = target,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1,
,FALSE,Is it possible to partition array into two subsets of equal sum,https://leetcode.com/problems/partition-equal-subset-sum/,
,FALSE,0-1 Knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,
,FALSE,Weight of items with max values in knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,
,FALSE,Unbounded knapsack,https://www.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1,
,FALSE,Weight of items with max values in Unbounded knapsack,https://www.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1,
,FALSE,Target Sum with positive negative values,https://leetcode.com/problems/target-sum/description/,
,,,,
,,DP on Strings,,
,FALSE,Longest pallindromic substring,https://leetcode.com/problems/longest-palindromic-substring/,
,FALSE,Number of pallindromic substring,https://leetcode.com/problems/palindromic-substrings/description/,
,FALSE,Longest pallindromic subsequence using Recursion,https://leetcode.com/problems/longest-palindromic-subsequence/description/,
,FALSE,Longest pallindromic subsequence using memo,https://leetcode.com/problems/longest-palindromic-subsequence/description/,
,FALSE,Longest pallindromic subsequence using tabulation,Longest Palindromic Subsequence - LeetCode,
,FALSE,Generate longest pallindromic subsequence using tabulation,https://leetcode.com/problems/longest-palindromic-subsequence/description/,
,FALSE,Distinct subsequences,https://leetcode.com/problems/distinct-subsequences/,
,FALSE,Longest common subsequence length,https://leetcode.com/problems/longest-common-subsequence/description/,
,FALSE,Longest common subsequence string using tabulation,Longest Common Subsequence - LeetCode,
,FALSE,Delete operation for 2 strings,https://leetcode.com/problems/delete-operation-for-two-strings/,
,FALSE,Delete operation but with ASCII values,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/description/,
,FALSE,Maximum uncrossed lines,https://leetcode.com/problems/uncrossed-lines/description/,
,FALSE,Edit distance,https://leetcode.com/problems/edit-distance/description/,
,FALSE,WildCard matching,https://leetcode.com/problems/wildcard-matching/,
,FALSE,Regular expression Matching,Regular Expression Matching - LeetCode,
,FALSE,Distinct subsequences 2,https://leetcode.com/problems/distinct-subsequences-ii/,
,FALSE,Count sub of type ai-bj-ck,https://www.geeksforgeeks.org/problems/count-subsequences-of-type-ai-bj-ck4425/1,
,,,,
,,,,
,,Longest Increasing Subsequence(LIS) set,,
,FALSE,Longest increasing subsequence recursion + memoization,https://leetcode.com/problems/longest-increasing-subsequence/description/,
,FALSE,Longest increasing subsequence tabulation,https://leetcode.com/problems/longest-increasing-subsequence/description/,
,FALSE,Longest Decreasing subsequence with dp[i] = LDS ending with nums[i],https://www.geeksforgeeks.org/dsa/longest-decreasing-subsequence/,
,FALSE,Longest Decreasing subsequence with dp[i] = LDS starting with nums[i],https://www.geeksforgeeks.org/dsa/longest-decreasing-subsequence/,
,FALSE,Longest Bitonic subsequence,https://www.geeksforgeeks.org/problems/longest-bitonic-subsequence0824/1,
,FALSE,Maximum sum increasing subsequence ,https://www.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence4749/1,
,FALSE,Maximum sum bitonic subsequence ,https://www.geeksforgeeks.org/problems/maximum-sum-bitonic-subsequence1857/1,
,FALSE,Minimum deletion to make array sorted ,https://www.geeksforgeeks.org/problems/minimum-number-of-deletions-to-make-a-sorted-sequence3248/1,
,FALSE,Minimum number of removal to make bitonic array,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/,
,FALSE,Number of LIS,http://leetcode.com/problems/number-of-longest-increasing-subsequence/description/,
,FALSE,Longest Arithmetic subsequence ,https://leetcode.com/problems/longest-arithmetic-subsequence/description,
,FALSE,Longest increasing subsequence in NLogN,https://leetcode.com/problems/longest-increasing-subsequence/description/,
,FALSE,Russian doll envelopes,https://leetcode.com/problems/russian-doll-envelopes/,
,FALSE,Maximum height buy stacking cuboids,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/description/,
,,,,
,,Cut Type DP set,,
,FALSE,Matrix chain multiplication,https://www.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1,
,FALSE,Brackets in MCM,https://www.geeksforgeeks.org/problems/brackets-in-matrix-chain-multiplication1024/1,
,FALSE,Burst Balloons,https://leetcode.com/problems/burst-balloons/description/,
,FALSE,Minimum score triangulation,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/description/,
,FALSE,Minimum cost to cut a stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/description/,
,FALSE,Pallindrome Partitioning ,https://leetcode.com/problems/palindrome-partitioning-ii/description/,
,FALSE,Pallindrome Partitioning in 3 parts(Optional if you have time),https://leetcode.com/problems/palindrome-partitioning-iv,
,FALSE,Partition Array for maximum sum,https://leetcode.com/problems/partition-array-for-maximum-sum/description/,
,FALSE,Optimal BST,https://www.geeksforgeeks.org/problems/optimal-binary-search-tree2214/1,
,,,,
,,Buy and Sell Stocks ,,
,FALSE,Buy and Sell Stocks in O(N) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,
,FALSE,Buy and Sell Stocks in O(1) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,
,FALSE,Buy and Sell Stocks 2 in O(N) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,
,FALSE,Buy and Sell Stocks 2 in O(1) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,
,FALSE,Buy and Sell Stocks with Transaction fees,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description/,
,FALSE,Buy and Sell Stocks with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/description/,
,FALSE,Buy and Sell Stocks 3 in O(N*2) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,
,FALSE,Buy and Sell Stocks 3 in O(1) space,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,
,FALSE,Buy and Sell Stocks 4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description/,
,,,,
,,Miscellaneous Set ,,
,FALSE,House robber,https://leetcode.com/problems/house-robber,
,FALSE,House robber 2,https://leetcode.com/problems/house-robber-ii/description/,
,FALSE,Count square submatrices,https://leetcode.com/problems/count-square-submatrices-with-all-ones/description/,
,FALSE,Maximum area of square submatrice with all ones,https://leetcode.com/problems/maximal-square/description/,
,FALSE,Count submatrices with all Ones,https://leetcode.com/problems/count-submatrices-with-all-ones,
,FALSE,Cherry Pickup 2,https://leetcode.com/problems/cherry-pickup-ii/description,
,FALSE,Cherry Pickup 2 in n*m*m space ,https://leetcode.com/problems/cherry-pickup-ii/description,
,FALSE,Cherry Pickup 2 in 2*m*m space ,https://leetcode.com/problems/cherry-pickup-ii/description,
,FALSE,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,
,FALSE,Stone game,https://leetcode.com/problems/stone-game/description/,
,FALSE,Stone game 4,https://leetcode.com/problems/stone-game-iv/description,
,FALSE,Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes/description/,
,FALSE,Paint N houses,https://www.geeksforgeeks.org/problems/distinct-coloring--170645/1,
,,,,
,,Arrays & Strings,"Problems based on searching, sorting, sliding window etc",
,FALSE,Segregate positive and negative number without maintaining order,,
,FALSE,Segregate 0s and 1s,Segregate 0s and 1s | Practice | GeeksforGeeks,
,FALSE,"Segregate 0s , 1s and 2s (Sort colors)",Sort Colors - LeetCode,
,,,,
,,Sliding Window ,,
,FALSE,Longest substring without repeating characters,Longest Substring Without Repeating Characters - LeetCode,
,FALSE,Longest substring with atmost 2 distinct characters,Longest Substring with At Most Two Distinct Characters - LeetCode,
,FALSE,Longest Substring with exact K distinct ,Longest Substring with K Uniques | Practice | GeeksforGeeks,
,FALSE,Maximum number of vowels in a substring of K length,Maximum Number of Vowels in a Substring of Given Length - LeetCode,
,FALSE,"Sliding Window maximum (Already covered twice in Stack and then Queue, use PQ now)",Sliding Window Maximum - LeetCode,
,FALSE,Fruit into basket,Fruit Into Baskets - LeetCode,
,,,,
,FALSE,Largest subarray with zero sum,Largest subarray with 0 sum | Practice | GeeksforGeeks,
,FALSE,Count of subarray with zero sum,Zero Sum Subarrays | Practice | GeeksforGeeks,
,FALSE,Longest subarray with sum K,Longest Subarray with Sum K | Practice | GeeksforGeeks,
,FALSE,Count of subarray with sum K,Subarray Sum Equals K - LeetCode,
,FALSE,Count of subarrays with Sum divisible by K,Subarray Sums Divisible by K - LeetCode,
,FALSE,Count of subarrays with XOR K,Count Subarrays with given XOR | Practice | GeeksforGeeks,
,FALSE,Longest subarray with equal number of 0s and 1s,Contiguous Array - LeetCode,
,FALSE,Count of subarray with equal number of 0s and 1s,Subarrays with equal 1s and 0s | Practice | GeeksforGeeks,
,FALSE,Longest consecutive subsequence,Longest Consecutive Sequence - LeetCode,
,,,,
,,Searching and Sorting ,,
,FALSE,Binary Search,Binary Search - LeetCode,
,FALSE,Find Insertion position,Search Insert Position - LeetCode,
,FALSE,First and last Index of elements in sorted array,Find First and Last Position of Element in Sorted Array - LeetCode,
,FALSE,Find K closest elements to target,Find K Closest Elements - LeetCode,
,FALSE,Kth Missing positive number,Kth Missing Positive Number - LeetCode,
,FALSE,Find minimum in rotated sorted array ,Find Minimum in Rotated Sorted Array - LeetCode,
,FALSE,Find minimum in rotated sorted array with duplicate elements,Find Minimum in Rotated Sorted Array II - LeetCode,
,FALSE,Search in rotated sorted array,Search in Rotated Sorted Array - LeetCode,
,FALSE,Search in rotated sorted array with duplicate elements,Search in Rotated Sorted Array II - LeetCode,
,FALSE,Median of two Sorted Arrays,Median of Two Sorted Arrays - LeetCode,
,,,,
,FALSE,Aggressive cows,Aggressive Cows | Practice | GeeksforGeeks,
,FALSE,Koko Eating Bananas,Koko Eating Bananas - LeetCode,
,FALSE,Maximum candies allocated to K children,Maximum Candies Allocated to K Children - LeetCode,
,FALSE,Minimum number of days to make m bouquets,Minimum Number of Days to Make m Bouquets - LeetCode,
,FALSE,Capacity to ship packages with D days,Capacity to ship packages with D days,
,FALSE,Minimum time to repair cars,Minimum Time to Repair Cars - LeetCode,
,FALSE,Allocate minimum number of pages,Allocate Minimum Pages | Practice | GeeksforGeeks,
,FALSE,Split array largest sum,https://leetcode.com/problems/split-array-largest-sum/description/,
,,,,
,,Sorting ,,
,FALSE,Bubble sort Algorithm,Bubble Sort Algorithm - GeeksforGeeks,
,FALSE,Insertion sort Algorithm,Insertion Sort Algorithm - GeeksforGeeks,
,FALSE,Merge two sorted arrays,,
,FALSE,Merge sort,Merge Sort | Practice | GeeksforGeeks,
,FALSE,Inversion count,Count Inversions | Practice | GeeksforGeeks,
,FALSE,Partition array according to pivot,,
,FALSE,Quick Sort,Quick Sort | Practice | GeeksforGeeks,
,,,,
,,Miscellaneous Problems ,,
,FALSE,Two Sum ,Two Sum - LeetCode,
,FALSE,Two Sum 2 in O(1) Space,Two Sum II - Input Array Is Sorted - LeetCode,
,FALSE,All pairs for Two Sum,All distinct pairs with given sum | Practice | GeeksforGeeks,
,FALSE,3 Sum ,3Sum - LeetCode,
,FALSE,Four sum,4Sum - LeetCode,
,FALSE,"Ksum  (k= 5 sum, 6 sum ...)",4Sum - LeetCode,
,FALSE,Count pairs with given sum,Count pairs with given sum | Practice | GeeksforGeeks,
,FALSE,Count quadruplets with given sum,4Sum II - LeetCode,
,,,,
,FALSE,Majority Element in O(N) time and O(N) space,Majority Element - LeetCode,
,FALSE,Majority Element in O(N) time and O(1) space,Majority Element - LeetCode,
,FALSE,Majority Element 2,Majority Element II - LeetCode,
,,,,
,FALSE,Next permutation,Next Permutation - LeetCode,
,FALSE,Merge intervals without using Stack,Merge Intervals - LeetCode,
,FALSE,Maximum length of pair chain,Maximum Length of Pair Chain - LeetCode,
,FALSE,Maximum profit in job scheduling,Maximum Profit in Job Scheduling - LeetCode,
,FALSE,Missing and Repeating Number in O(1) Space and O(N) time,Missing And Repeating | Practice | GeeksforGeeks,
,FALSE,Maximum product subarray ,Maximum Product Subarray - LeetCode,
,FALSE,Reverse words in a string,Reverse Words in a String - LeetCode,
,FALSE,Gas station ,Gas Station - LeetCode,
